File Name,PDF Link
OTL01052_790_ဦးခင်မောင်လွင်_အခြေခံဘောလုံးနည်းစနစ်.pdf,https://drive.google.com/file/d/1rCYD_jqoT4nC9cQoejIiWBbYCJ4pfd3f/view?usp=drivesdk
OTL01048_790_YuriAverbakh_ChessEndingsEssentialKnowledge.pdf,https://drive.google.com/file/d/16g2asaVBKogkBTsbj1CQIDZHsNGeNM9A/view?usp=drivesdk
OTL01017_790_HermanGrooten_AttackingChessForClubPlayers.pdf,https://drive.google.com/file/d/1O_zkCtT_dYuFa_TV0F9_3tUdXyR2GI_v/view?usp=drivesdk
OTL01024_790_JohnWalker_64ThingsYouNeedToKnowInChess.pdf,https://drive.google.com/file/d/19dgqddecRbwhZ2FAWKV961uSWHYvefN8/view?usp=drivesdk
OTL01009_790_DK_HowToPlayChess.pdf,https://drive.google.com/file/d/1gXZTEa48qTMQ-stRqbNNiy1CSuP03q99/view?usp=drivesdk
OTL01039_790_BCM_BritishChessMagazineOctober2023.pdf,https://drive.google.com/file/d/1hZpTcCwwb2PPxuUaJ5PqUTXbJeJCaa6v/view?usp=drivesdk
OTL01014_790_FrancoMasetti_1001ChessExercisesForBeginners.pdf,https://drive.google.com/file/d/1Q8xfvLwAF9wDSzRLXXufCfSmtN9UduZ0/view?usp=drivesdk
OTL01038_790_NikolayKalinichenko_WinningInTheChessOpening.pdf,https://drive.google.com/file/d/1bzJRp2IK9L6Jp1mshENFV_B6au6u91Ax/view?usp=drivesdk
OTL01051_790_အားကစားနှင့်ကာယဦးစီးဌာန_စစ်တုရင်ဘုရင်လက်စွဲ.pdf,https://drive.google.com/file/d/1mzdO8fRowAuWHp6F1Lgj2_QJ9ndeiTwm/view?usp=drivesdk
OTL01049_790_ကွန်ဖူးစိုးမြင့်_ထိုင်းလက်ဝှေ့.pdf,https://drive.google.com/file/d/1-RcIo1InxvtUNe9Wcvd24xWM1ZQNz9lO/view?usp=drivesdk
._OTL00685_740_SaddleBack_AlbertEinstein.pdf,https://drive.google.com/file/d/1DJM96JL63vEXKqk31tzp8-jU02e9aYKU/view?usp=drivesdk
._OTL00686_740_Saddleback_AbrahamLincoln.pdf,https://drive.google.com/file/d/1S8VT5x3gB5G8bAz7A4rdgp7FLbCzinHN/view?usp=drivesdk
._OTL00684_740_Saddleback_AlexanderGBell.pdf,https://drive.google.com/file/d/1X-fN-WRQmbJ7jpG7DUgRzL5_6sImeS4l/view?usp=drivesdk
._OTL00687_740_Delisle_ဘားမားခရိုနီကယ်.pdf,https://drive.google.com/file/d/1YzeF3u4lcmgPNs9Y-L47X3c4e4o5mVck/view?usp=drivesdk
._OTL00688_740_DC_BatmanSpiderman.pdf,https://drive.google.com/file/d/1bI5ONUuDG5y7lkuMkECAJ4d4xb09nJw0/view?usp=drivesdk
._OTL00682_740_T.Albert_AbetheServiceDog.pdf,https://drive.google.com/file/d/1e_lLXK_UC8ALTuySRzfyhfjkYpyKqtE2/view?usp=drivesdk
._OTL00689_740_DC_BatmanPunisher.pdf,https://drive.google.com/file/d/1vnomYjNYJpXx_Qyj2ygHkhZFHTXieHlc/view?usp=drivesdk
._OTL00683_740_Saddleback_AmeliaEarhart.pdf,https://drive.google.com/file/d/1z1L5OWs_9GdbC0SgZmdWYz_EZhUEbHkl/view?usp=drivesdk
._OTL00668_740_YoshihiroTatsumi_GoodBye.pdf,https://drive.google.com/file/d/151UvCyKeCuEa4EaUtoGZQdqtShdXXo2l/view?usp=drivesdk
._OTL00669_740_T.Albert_TheCaseOfthemissingSmile.pdf,https://drive.google.com/file/d/15owWQimSAfarf4_KrW1rlO6HDWv_t5Bs/view?usp=drivesdk
._OTL00678_740_T.Albert_GingertheGiraffe.pdf,https://drive.google.com/file/d/163SWUO8wjkKBYTrm0-9ItqrYJ2U5dpcw/view?usp=drivesdk
._OTL00673_740_T.Albert_JessietheRabbit.pdf,https://drive.google.com/file/d/18EVAdjYOY_oruxu4xdYdoaxFnrXspkOy/view?usp=drivesdk
._OTL00677_740_T.Albert_HammyTheHamster.pdf,https://drive.google.com/file/d/196xj9u4H5WHBTwWs5SfexBLW7_YGN5tI/view?usp=drivesdk
._OTL00667_740_ZaniMathoo_DylantheDragon.pdf,https://drive.google.com/file/d/1BwsTVxyu92zGN7D0ZuOx_3VaSvg-WJus/view?usp=drivesdk
._OTL00679_740_T.Albert_DoingMyChores.pdf,https://drive.google.com/file/d/1S-PP6UyOPa6xVUYBn0gg_SdEo84QZ8JJ/view?usp=drivesdk
._OTL00674_740_T.Albert_HomeworkYuck.pdf,https://drive.google.com/file/d/1XJA5SoazeSPDWblOug7UOG_TTaMhasUM/view?usp=drivesdk
._OTL00670_740_T.Albert_SamathatheGirlScientist.pdf,https://drive.google.com/file/d/1gCKU943pyiMF7HvfTZwfCZrGHvxtcMeg/view?usp=drivesdk
._OTL00680_740_T.Albert_CaptainFantastic.pdf,https://drive.google.com/file/d/1gaM3oZbUzb2KfoaxDfpM4CX1NGKleplB/view?usp=drivesdk
._OTL00681_740_T.Albert_AreWeThereYet.pdf,https://drive.google.com/file/d/1jVraJlO3t1JXE5MVx_TGmYRII4LWuJ2l/view?usp=drivesdk
._OTL00671_740_T.Albert_MixItUp.pdf,https://drive.google.com/file/d/1nugd-5-ZhZ68WOuVPw1a9bpO1UvayIfw/view?usp=drivesdk
._OTL00672_740_T.Albert_MartyMongoose.pdf,https://drive.google.com/file/d/1rUiOlSdsJUyFQ35HkU5eqwHWXR8PUmW0/view?usp=drivesdk
._OTL00676_740_T.Albert_HeyMomWhatisDiversity.pdf,https://drive.google.com/file/d/1xxzAq7CQ97SZUtQNHiOAiopiRT_sZsVf/view?usp=drivesdk
._OTL00675_740_T.Albert_HideAndSeek.pdf,https://drive.google.com/file/d/1yaXl24FQhnXpbAjpzzO1XiCRoNrCTaIf/view?usp=drivesdk
._OTL00666_740_ကလောင်စုံ_ကမ္ဘာမြေကိုထိန်းသိမ်းခြင်းပတ်ဝန်းကျင်ထိန်းသိမ်းရေး.pdf,https://drive.google.com/file/d/1ywkBXpJIlrBsa4gmAAj3vwWLhkh09qHg/view?usp=drivesdk
._OTL00662_740_ကလောင်စုံ_သူတို့ဘာတွေလုပ်နေကြပါလိမ့်.pdf,https://drive.google.com/file/d/16hYBoSwlRH5VDfV-1oEVLWQEvvFz_KfG/view?usp=drivesdk
._OTL00663_740_ကလောင်စုံ_ရွှေသွေးဂျာနယ်အထူးထုတ်၁၉၉၅.pdf,https://drive.google.com/file/d/19et8nEHG5zgjL9TsthF6LtNrepHs78RE/view?usp=drivesdk
